protein name	proximity to Covid-19	shortest path to Covid-19	path length
PGAP3	0.13617627534809454	PGAP3, AP2M1, covid-19	2
KLHDC3	-0.07999278556289509	KLHDC3, CUL2, covid-19	2
CD8A	0.41861646381255657	CD8A, HDAC2, covid-19	2
SEMA4D	-0.07069627311046756	SEMA4D, PTPRC, CSNK2A2, covid-19	3
CD79A	0.028189973388369434	CD79A, PTPRC, CSNK2A2, covid-19	3
CD1D	0.28937419893330496	CD1D, PTPRC, CSNK2A2, covid-19	3
MBL2	0.13631079757338443	MBL2, PTPRC, CSNK2A2, covid-19	3
ALOX5AP	-0.03822213491924487	ALOX5AP, ALOX5, ERMP1, covid-19	3
MAD1L1	-0.0011119265172562336	MAD1L1, HDAC2, covid-19	2
HHIPL2	-0.08630309436590587	HHIPL2, ALOX5, PRKACA, covid-19	3
RUNDC1	-0.026066167133210572	RUNDC1, ALOX5, ERMP1, covid-19	3
TBC1D2B	-0.03931921630717593	TBC1D2B, ALOX5, ERMP1, covid-19	3
LSS	0.09994776519990142	LSS, ALOX5, ERMP1, covid-19	3
PNPLA2	-0.028012061704936975	PNPLA2, MARK3, covid-19	2
RAB3GAP1	-0.02181118899540648	RAB3GAP1, ALOX5, ERMP1, covid-19	3
KIF16B	-0.025842823888183798	KIF16B, ALOX5, ERMP1, covid-19	3
PSMF1	-0.13016852673572032	PSMF1, PSMD8, covid-19	2
PMF1	-0.11507885918081105	PMF1, GCC2, covid-19	2
PDXDC2P	-0.09911784897519843	PDXDC2P, MOV10, covid-19	2
AMOTL1	-0.053703293167689396	AMOTL1, MOV10, covid-19	2
COTL1P1	-0.061018500810056775	COTL1P1, ALOX5, PRKACA, covid-19	3
HEBP1	-0.008701018735229039	HEBP1, UBE2L3, EIF4E2, covid-19	3
NUB1	-0.04195317693561652	NUB1, VAV1, RHOA, covid-19	3
SERPINA12	0.17464873688336066	SERPINA12, VAV1, RHOA, covid-19	3
ATP2B2	-0.03207712966098114	ATP2B2, ALG8, covid-19	2
GAL3ST4	0.08295213120577849	GAL3ST4, XRCC6, CSNK2A2, covid-19	3
ABCD4	0.03322822417395332	ABCD4, XRCC6, CSNK2A2, covid-19	3
FCHSD1	0.06332769894519047	FCHSD1, MOV10, covid-19	2
BAZ1A	0.017486330397478628	BAZ1A, HDAC2, covid-19	2
CMTM6	0.016769521332783477	CMTM6, XRCC6, CSNK2A2, covid-19	3
EFNA1	-0.13331743516106434	EFNA1, XRCC6, CSNK2A2, covid-19	3
VBP1	-0.017297132753167237	VBP1, DCAF7, covid-19	2
SELENOF	0.022857313860698874	SELENOF, XRCC6, CSNK2A2, covid-19	3
ARHGAP5	-0.07532737131305302	ARHGAP5, ITGB1, covid-19	2
ADCY7	-0.15907792399249532	ADCY7, XRCC6, CSNK2A2, covid-19	3
CAPN11	0.026121046109430227	CAPN11, XRCC6, CSNK2A2, covid-19	3
WBP4	0.04906271307041076	WBP4, PABPC1, covid-19	2
RANBP3	-0.062190423150259154	RANBP3, PLOD2, covid-19	2
PHRF1	-0.10212342607236854	PHRF1, CSNK2A2, covid-19	2
TNRC18	-0.03715335674596072	TNRC18, XRCC6, CSNK2A2, covid-19	3
CDK5RAP1	0.0022161176783370568	CDK5RAP1, EXOSC3, covid-19	2
USP50	-0.11414982361929187	USP50, ACADM, covid-19	2
PAXX	0.004629045253854519	PAXX, XRCC6, CSNK2A2, covid-19	3
ATP23	0.0015120218755480183	ATP23, XRCC6, CSNK2A2, covid-19	3
NDST1	-0.04293682549067398	NDST1, XRCC5, POLA1, covid-19	3
MSH5	0.0010980693509446068	MSH5, XRCC5, POLA1, covid-19	3
NFIB	0.02150253559619172	NFIB, XRCC5, POLA1, covid-19	3
PCDH7	-0.030947063183588634	PCDH7, CEP350, covid-19	2
MPDZ	-0.13188352085953578	MPDZ, XRCC5, POLA1, covid-19	3
SMYD5	-0.061613994741229576	SMYD5, MOV10, covid-19	2
ASAP3	0.056189336544020335	ASAP3, GOLGA2, covid-19	2
MIB2	0.06101874673205731	MIB2, TBK1, covid-19	2
NHEJ1	0.2158981034755257	NHEJ1, XRCC5, POLA1, covid-19	3
KDM2B	-0.06999191929006522	KDM2B, GOLGA2, covid-19	2
BCL11B	0.06770950875596288	BCL11B, HDAC2, covid-19	2
ADNP2	-0.028889319990817303	ADNP2, MOV10, covid-19	2
SENP7	0.02150062558274201	SENP7, CBX5, DNMT1, covid-19	3
RPL26P30	-0.03735528734760678	RPL26P30, CBX5, HDAC2, covid-19	3
ZFP1	-0.18762236262581192	ZFP1, HDAC2, covid-19	2
RBBP4P1	-0.003714709912993431	RBBP4P1, CBX5, HDAC2, covid-19	3
ZNF568	-0.008111816588126416	ZNF568, CBX5, DNMT1, covid-19	3
ZNF764	-0.016944757218765177	ZNF764, CBX5, DNMT1, covid-19	3
ZNF460	-0.0440685843504057	ZNF460, MOV10, covid-19	2
ZNF625	-0.018590422405727006	ZNF625, CBX5, DNMT1, covid-19	3
ZNF773	0.09376520433138189	ZNF773, CBX5, DNMT1, covid-19	3
MAP7D3	0.02182895154601367	MAP7D3, CEP135, covid-19	2
ZNF689	-0.04509421735662203	ZNF689, CBX5, DNMT1, covid-19	3
ZNF566	-0.00766267761998575	ZNF566, CBX5, DNMT1, covid-19	3
ZNF227	-0.11305658620587203	ZNF227, CBX5, DNMT1, covid-19	3
ZNF324B	-0.09728986089467925	ZNF324B, AATF, covid-19	2
ZNF585B	0.003025098911045153	ZNF585B, CBX5, DNMT1, covid-19	3
ZNF585A	-0.02732323550005419	ZNF585A, CBX5, HDAC2, covid-19	3
ZNF620	-0.07346091999079969	ZNF620, CBX5, DNMT1, covid-19	3
ZFP82	0.026133764772968828	ZFP82, CBX5, DNMT1, covid-19	3
ZNF552	-0.027164262733068503	ZNF552, CBX5, DNMT1, covid-19	3
ZNF45	-0.12570244920420248	ZNF45, CBX5, DNMT1, covid-19	3
ZNF649	0.05755095289139606	ZNF649, CBX5, DNMT1, covid-19	3
ZNF518A	-0.13814498336282413	ZNF518A, CBX5, DNMT1, covid-19	3
GOLGA8EP	-0.11184880639990004	GOLGA8EP, PDE4DIP, covid-19	2
ZNF621	0.2579912177285648	ZNF621, CBX5, DNMT1, covid-19	3
ZNF562	-0.09516313153282167	ZNF562, CBX5, DNMT1, covid-19	3
NLRP3	0.14758211766648227	NLRP3, AP3B1, covid-19	2
CPLX4	0.08065198566376192	CPLX4, CBX5, DNMT1, covid-19	3
XAGE2	-0.11742284870180823	XAGE2, CBX5, DNMT1, covid-19	3
CCDC71L	-0.03364072830254078	CCDC71L, CBX5, DNMT1, covid-19	3
PCGF6	-0.05514044092102565	PCGF6, HDAC2, covid-19	2
PMF1-BGLAP	-0.04374336958530239	PMF1-BGLAP, CBX5, DNMT1, covid-19	3
RLF	-0.08994842540341863	RLF, CBX5, DNMT1, covid-19	3
SCGB2A1	-0.026290408238213745	SCGB2A1, CBX5, DNMT1, covid-19	3
ZNF518B	0.03141320384507595	ZNF518B, CBX5, DNMT1, covid-19	3
ZNF292	-0.015880635896430805	ZNF292, CBX5, DNMT1, covid-19	3
ZNF678	-0.020687594788495772	ZNF678, CBX5, HDAC2, covid-19	3
SGO1	-0.07157730096519196	SGO1, CBX5, DNMT1, covid-19	3
ELOA2	-0.015111355598229972	ELOA2, ELOB, covid-19	2
NSD3	-0.12814455737679403	NSD3, CBX5, DNMT1, covid-19	3
KNTC1	-0.09178933672539391	KNTC1, PIAS4, HDAC2, covid-19	3
TICAM1	0.21409923846394627	TICAM1, RIPK1, covid-19	2
PHF11	-0.1864551694135975	PHF11, CSNK2B, covid-19	2
AREL1	-0.06435732463033922	AREL1, PIAS4, HDAC2, covid-19	3
TRAF7	0.004414881320593068	TRAF7, PIAS4, HDAC2, covid-19	3
TLE2	0.2105472209959317	TLE2, TLE1, covid-19	2
CDX1	-0.10101112792651201	CDX1, DDX10, covid-19	2
PRMT6	-0.0799515325905538	PRMT6, FKBP7, covid-19	2
ALX4	-0.031560163696815406	ALX4, LEF1, TLE1, covid-19	3
DCT	-0.12226589692593928	DCT, LEF1, TLE1, covid-19	3
MLANA	0.01886853551624726	MLANA, MITF, MARK3, covid-19	3
DHDDS	0.08067049364438669	DHDDS, LOX, covid-19	2
FOXP4	0.3153560886595055	FOXP4, DHDDS, LOX, covid-19	3
HIST1H2BJ	0.1822623649975001	HIST1H2BJ, LOX, covid-19	2
RNU11	-0.1207579023013696	RNU11, YBX1, UBAP2L, covid-19	3
GZF1	-0.05510758724840907	GZF1, YBX1, UBAP2L, covid-19	3
JAM2	0.10676311246054312	JAM2, ITGB1, covid-19	2
RNU12	-0.07058507244222673	RNU12, YBX1, UBAP2L, covid-19	3
HACE1	0.04737603839749266	HACE1, YBX1, UBAP2L, covid-19	3
THUMPD1	-0.01620014136699827	THUMPD1, DDX21, covid-19	2
RNU12-2P	-0.020294864261003825	RNU12-2P, YBX1, UBAP2L, covid-19	3
SMIM20	0.007308226015113625	SMIM20, SRSF9, HDAC2, covid-19	3
UNC119B	-0.05640462693360241	UNC119B, MOV10, covid-19	2
KHDRBS3	-0.08227472319270096	KHDRBS3, G3BP1, covid-19	2
ATRNL1	0.00503841416383987	ATRNL1, MC4R, PRKACA, covid-19	3
MC4R	0.021536927401248025	MC4R, PRKACA, covid-19	2
MRAP	-0.0739159163314553	MRAP, MC4R, PRKACA, covid-19	3
GRK4	-0.01798588416181029	GRK4, MC4R, PRKACA, covid-19	3
ASIP	-0.03473648809878034	ASIP, MC4R, PRKACA, covid-19	3
GRK3	-0.0507315199239215	GRK3, MC4R, PRKACA, covid-19	3
GRK6	0.00199466578513062	GRK6, SLC9A3R1, covid-19	2
GRK1	-0.01280928526642016	GRK1, PRKACA, covid-19	2
RYBP	-0.043611881013031456	RYBP, CSNK2A2, covid-19	2
ARL14EP	0.3603669835546749	ARL14EP, PLEKHF2, covid-19	2
MRI1	-0.013225526087261505	MRI1, ATF7IP, CEP250, covid-19	3
LAMA5	0.012002627303752539	LAMA5, PLAT, covid-19	2
PLEKHB2	-0.14551747807252569	PLEKHB2, UPF1, covid-19	2
PSG3	-0.09455984847837462	PSG3, ATF7IP, CEP250, covid-19	3
EPG5	0.07541511840264138	EPG5, ATF7IP, CEP250, covid-19	3
STBD1	0.08539245111438	STBD1, MEPCE, covid-19	2
SDK1	0.06022160658747036	SDK1, ATF7IP, CEP250, covid-19	3
PRSS8	0.10313097633997914	PRSS8, ATF7IP, CEP250, covid-19	3
MCAM	0.11902504673349695	MCAM, ATF7IP, CEP250, covid-19	3
TENM1	-0.0626767860925343	TENM1, MBD1, MOV10, covid-19	3
OASL	0.14814867885496158	OASL, MBD1, MOV10, covid-19	3
TOB2	-0.06413143100899246	TOB2, PABPC1, covid-19	2
TIGD6	-0.036096785778710457	TIGD6, ACSL3, covid-19	2
SERPINA10	-0.0494056981478483	SERPINA10, PLAT, covid-19	2
OPN1LW	0.02972309605565968	OPN1LW, PIAS3, SNIP1, covid-19	3
BACH2	-0.24230709221702565	BACH2, PATZ1, FGFR1OP, covid-19	3
OMD	-0.21845589597025233	OMD, PATZ1, FGFR1OP, covid-19	3
APOBEC3D	0.06633710766887907	APOBEC3D, LARP1, covid-19	2
AIPL1	-0.11978454514010177	AIPL1, FGFR1OP, covid-19	2
MIOS	-0.0994206708871018	MIOS, FGFR1OP, covid-19	2
HSPB3	-0.08994056500030022	HSPB3, ANP32A, MEPCE, covid-19	3
VPS72	-0.02737621527173064	VPS72, CSNK2A2, covid-19	2
ATG10	-0.06995805511041196	ATG10, MAP1B, PPT1, covid-19	3
HSPB6	0.0898901380097725	HSPB6, PRKACA, covid-19	2
MTERF1	-0.06832464843539472	MTERF1, MAP1B, PPT1, covid-19	3
CNOT8	-0.058579618905605355	CNOT8, ZC3H7A, covid-19	2
CLUH	0.032669123949868976	CLUH, AAR2, covid-19	2
TOMM34	0.09545652735116514	TOMM34, G3BP1, covid-19	2
C8orf34	0.0227745409155796	C8orf34, MCM7, MIB1, covid-19	3
AK8	-0.019400580474952855	AK8, MCM7, MIB1, covid-19	3
PIH1D3	-0.04959209072299322	PIH1D3, MCM7, MIB1, covid-19	3
CRLS1	0.044631119736290456	CRLS1, MCM7, MIB1, covid-19	3
ITGA7	0.07397148524942763	ITGA7, ITGB1, covid-19	2
ITGA3	-0.024798624490549065	ITGA3, ADAM9, covid-19	2
SIGLEC6	0.26566378801645907	SIGLEC6, FHL2, ITGB1, covid-19	3
NRF1	-0.04920380413778287	NRF1, CSNK2A2, covid-19	2
RFX3	-0.026001903434881825	RFX3, HDAC2, covid-19	2
ZNF417	0.0024540853521558964	ZNF417, GOLGA2, covid-19	2
TRMT61A	0.059846700336545516	TRMT61A, FHL2, ITGB1, covid-19	3
RIBC1	-0.09615887097498513	RIBC1, GOLGA2, covid-19	2
NANOS2	-0.11754312570508196	NANOS2, FHL2, ITGB1, covid-19	3
DCDC2B	0.022941923996786955	DCDC2B, FHL2, ITGB1, covid-19	3
CPLX3	0.09678477776358455	CPLX3, SIRT5, covid-19	2
MILR1	0.04552916882996272	MILR1, FHL2, ITGB1, covid-19	3
GPRC5C	-0.04569637473252539	GPRC5C, FAM8A1, covid-19	2
SPHK2	-0.12695511222109115	SPHK2, FHL2, ITGB1, covid-19	3
FHL5	0.05223123765188047	FHL5, FHL2, ITGB1, covid-19	3
FAM129A	-0.042456196319943434	FAM129A, FHL2, ERP44, covid-19	3
SLC34A1	-0.04253446765854165	SLC34A1, SLC9A3R1, covid-19	2
RPS4Y2	0.0064311587100236295	RPS4Y2, LARP7, covid-19	2
RPS4Y1	-0.011974163289525608	RPS4Y1, LARP7, covid-19	2
POLR3D	0.36029671681303693	POLR3D, POLR2L, EXOSC5, covid-19	3
RCCD1	-0.15241927119583848	RCCD1, POLR2L, EXOSC5, covid-19	3
PPP1R15A	-0.1546122094303469	PPP1R15A, KMT2A, CSNK2A2, covid-19	3
HCFC2	0.042537551209326396	HCFC2, KMT2A, CSNK2A2, covid-19	3
DDIT4L	-0.02737469406425671	DDIT4L, KMT2A, CSNK2A2, covid-19	3
UTP18	-0.04317408955129934	UTP18, CSNK2A2, covid-19	2
AVP	0.011902816622672615	AVP, KMT2A, CSNK2A2, covid-19	3
PHF13	0.1220642852494881	PHF13, PPIE, SLC25A21, covid-19	3
ACBD3	-0.04474028284483448	ACBD3, GOLGA3, covid-19	2
TRMT61B	-0.025776803844772336	TRMT61B, AASS, covid-19	2
ISY1-RAB43	0.02700543674366046	ISY1-RAB43, PPIE, SLC25A21, covid-19	3
SLC10A2	-0.03829909401814851	SLC10A2, PPIE, MARK3, covid-19	3
FASTK	-0.01977321416732703	FASTK, PPIE, SLC25A21, covid-19	3
U2AF1L4	0.050566508369510224	U2AF1L4, GIGYF2, covid-19	2
OR2T1	-0.060291490716664564	OR2T1, PPIE, MARK3, covid-19	3
PPP1R1A	-0.17994443919255582	PPP1R1A, PRKACA, covid-19	2
POP4	-0.045177456956080886	POP4, LARP7, covid-19	2
POU3F3	-0.04911282338044334	POU3F3, RNF4, RTN4, covid-19	3
STYXL1	-0.0060078541819068715	STYXL1, MYO1E, DDX21, covid-19	3
NTF4	-0.04089585675815783	NTF4, NGFR, PRKACA, covid-19	3
NSMCE3	-0.16918892069030536	NSMCE3, NGFR, PRKACA, covid-19	3
TNP1	0.012943177657599073	TNP1, CSNK2A2, covid-19	2
TNP2	0.031463728659524896	TNP2, PRKACA, covid-19	2
RIIAD1	-0.01912971179859646	RIIAD1, PRKACB, CSNK2A2, covid-19	3
TP53RK	-0.1625691770105913	TP53RK, PRKACB, PRKAR2B, covid-19	3
AKAP11	-0.01939709494246032	AKAP11, PRKACA, covid-19	2
C11orf49	-0.10752815775349522	C11orf49, GOLGA2, covid-19	2
AKAP14	-0.1090478146189427	AKAP14, PRKACA, covid-19	2
HSP90AB4P	0.032051101078030886	HSP90AB4P, PPT1, covid-19	2
KLHL28	0.022004118273464157	KLHL28, PRKACB, PRKAR2B, covid-19	3
PKIB	-0.04369494445447193	PKIB, PRKACB, PRKAR2B, covid-19	3
SLC4A4	-0.08252608665276313	SLC4A4, PRKACA, covid-19	2
LIPE	-0.13346794854024535	LIPE, PRKACA, covid-19	2
HIST1H2BD	0.13168024241154003	HIST1H2BD, PRKACA, covid-19	2
PPP1R14D	-0.014808764623708797	PPP1R14D, PRKACA, covid-19	2
NPY1R	0.07486455138700582	NPY1R, LSM7, EXOSC8, covid-19	3
ZBTB8B	0.03990395892917291	ZBTB8B, LSM7, EXOSC8, covid-19	3
ZSCAN26	0.009099937351877564	ZSCAN26, MRPS27, covid-19	2
PYY	0.05296913476686185	PYY, MEP1B, PRKACA, covid-19	3
SNCAIP	-0.04598042626248291	SNCAIP, CSNK2A2, covid-19	2
RNF19A	-0.060168636174869256	RNF19A, SNCAIP, CSNK2A2, covid-19	3
KALRN	-0.06471029544526774	KALRN, GNB1, covid-19	2
GABARAPL1	-0.058326756862535224	GABARAPL1, NEK9, covid-19	2
BDH2	-0.05513510813657729	BDH2, SNCA, TOR1A, covid-19	3
FSD1	-0.022827544950058953	FSD1, GNG5, covid-19	2
LCMT2	-0.07726684758184549	LCMT2, SNCA, TOR1A, covid-19	3
CGRRF1	-0.06973057162445143	CGRRF1, SNCA, TOR1A, covid-19	3
SGSM3	0.016031625297625394	SGSM3, RAB5C, covid-19	2
CEP295	-0.021113171054826903	CEP295, CEP135, covid-19	2
CMBL	-0.02882577119716981	CMBL, AAR2, covid-19	2
LAMTOR4	-0.1410827001850977	LAMTOR4, SNCA, TOR1A, covid-19	3
SERPINB13	-0.08783870813196294	SERPINB13, ACAD9, covid-19	2
ZRANB1	-0.15991976536030908	ZRANB1, GCC2, covid-19	2
SLC38A4	-0.05751390586423757	SLC38A4, SNCA, TOR1A, covid-19	3
SEPT2	0.06893399052938359	SEPT2, ARF6, covid-19	2
MISP	0.006314210803990337	MISP, RDX, covid-19	2
KSR2	-0.09924149254905909	KSR2, MAP3K8, RIPK1, covid-19	3
RNF25	-0.04796975912680772	RNF25, RELA, AKAP8, covid-19	3
TAF4B	-0.08438278354388778	TAF4B, RELA, AKAP8, covid-19	3
SETD6	-0.020511678948804228	SETD6, RELA, AKAP8, covid-19	3
UBE2C	0.009532868948362663	UBE2C, PVR, covid-19	2
FKBP11	0.044656404977995605	FKBP11, RELA, AKAP8, covid-19	3
CNNM3	-0.03594835198260611	CNNM3, RELA, AKAP8, covid-19	3
BATF2	-0.03933436258013262	BATF2, RELA, AKAP8, covid-19	3
POTEJ	0.016526311443491433	POTEJ, LARP7, covid-19	2
POTEE	-0.07894506074684543	POTEE, LARP7, covid-19	2
MUC3A	-0.04716808548198614	MUC3A, RELA, HDAC2, covid-19	3
DIS3L2	-0.05110257066869152	DIS3L2, RELA, AKAP8, covid-19	3
PIWIL4	-0.03182000736625625	PIWIL4, RELA, AKAP8, covid-19	3
SPATA31A3	-0.06885677622096933	SPATA31A3, RELA, HDAC2, covid-19	3
MKS1	-0.0021530453371727924	MKS1, DNAJC11, covid-19	2
HERC3	0.17338300057989545	HERC3, MOV10, covid-19	2
TIMM8A	0.028807563256509426	TIMM8A, GCC1, covid-19	2
GPC4	-0.08992046527167022	GPC4, CSNK2A2, covid-19	2
GPC6	0.05833722433592595	GPC6, LARP7, covid-19	2
IRAK1BP1	-0.04439943491525679	IRAK1BP1, RELA, AKAP8, covid-19	3
RPL7P32	0.0377619673696753	RPL7P32, CUL2, covid-19	2
IFNB1	0.3551937885195098	IFNB1, RELA, AKAP8, covid-19	3
DIO2	-0.15678075699172492	DIO2, RBX1, covid-19	2
BHLHE41	-0.0881636290807341	BHLHE41, CSNK2A2, covid-19	2
AMER2	-0.1748100415511149	AMER2, RELA, AKAP8, covid-19	3
RPS6KA4	-0.00969648589863048	RPS6KA4, RELA, AKAP8, covid-19	3
PPP2R5B	-0.16371623101876429	PPP2R5B, RELA, AKAP8, covid-19	3
ZNF277	-0.09015604797764074	ZNF277, RELA, AKAP8, covid-19	3
ASCC3	-0.03151500349842397	ASCC3, G3BP1, covid-19	2
ANKHD1	-0.16802012891025317	ANKHD1, IL17RA, covid-19	2
HAS2	-0.06301552196658389	HAS2, RELA, AKAP8, covid-19	3
MAZ	0.006184834611046125	MAZ, CSNK2A2, covid-19	2
MAFB	-0.0866348838522837	MAFB, FOS, CSNK2A2, covid-19	3
CYTH4	-0.03489891647232714	CYTH4, FOS, CSNK2A2, covid-19	3
DET1	-0.0703842953908703	DET1, RBX1, covid-19	2
TRAPPC13	-0.022336654442281147	TRAPPC13, FOS, CSNK2A2, covid-19	3
IL11	-0.11096988993200246	IL11, FOS, CSNK2A2, covid-19	3
NAT1	0.021042784957141198	NAT1, FOS, CSNK2A2, covid-19	3
PKNOX2	-0.02102172249957575	PKNOX2, FOS, CSNK2A2, covid-19	3
AMY2B	0.08023202591067749	AMY2B, FOS, CSNK2A2, covid-19	3
MAN1A2	0.10566669257755959	MAN1A2, GTF2F2, covid-19	2
TMSB10	-0.01398643176662058	TMSB10, FOS, CSNK2A2, covid-19	3
RNF103-CHMP3	0.2373579605714738	RNF103-CHMP3, CHMP2A, covid-19	2
SLC4A10	0.035785182743600256	SLC4A10, FOS, CSNK2A2, covid-19	3
NPIPA1	-0.0213176721301144	NPIPA1, FOS, CSNK2A2, covid-19	3
BUD23	0.015075584925562269	BUD23, FOS, CSNK2A2, covid-19	3
ZNF652	-0.04875425505584059	ZNF652, FOS, CSNK2A2, covid-19	3
BTBD10	0.10847751192989866	BTBD10, HECTD1, covid-19	2
ESF1	0.05998272508937798	ESF1, AATF, covid-19	2
ATP5ME	0.021151923945393124	ATP5ME, ATP5MG, covid-19	2
CCDC158	0.0029442625740921415	CCDC158, MYCBP2, covid-19	2
TLN2	0.10611521170859542	TLN2, FOS, CSNK2A2, covid-19	3
ENDOG	-0.04613525825360255	ENDOG, FEN1, MOV10, covid-19	3
PTCRA	-0.051041704947652394	PTCRA, FEN1, MOV10, covid-19	3
MT1F	0.07671682880732372	MT1F, NOP2, DDX21, covid-19	3
PRR11	-0.0003028416721037597	PRR11, CCDC86, covid-19	2
NOC3L	-0.0009590310243439704	NOC3L, SRP72, covid-19	2
NSA2	-0.021614523878088612	NSA2, CCDC86, covid-19	2
WDR46	0.06637825886904823	WDR46, CSNK2A2, covid-19	2
MAK16	-0.005637812594232738	MAK16, CSNK2A2, covid-19	2
KXD1	0.09671198077195516	KXD1, MCRS1, CSNK2B, covid-19	3
KIAA1958	-0.22437631171390726	KIAA1958, MCRS1, CSNK2B, covid-19	3
PHF20	-0.11067927615143347	PHF20, MOV10, covid-19	2
PIP5K1B	0.04743557307238514	PIP5K1B, LARP7, covid-19	2
CASTOR3	-0.11711123960719295	CASTOR3, MCRS1, CSNK2B, covid-19	3
PBX2	-0.06212555479849981	PBX2, MOV10, covid-19	2
NOL4	0.022248955102914872	NOL4, CHMP2A, covid-19	2
CHI3L2	0.009159643030989477	CHI3L2, ETS1, CSNK2B, covid-19	3
RPS6KC1	-0.07262283791120372	RPS6KC1, VPS39, covid-19	2
CD53	0.01218974606328542	CD53, ITGB1, covid-19	2
ITGAX	0.15357002464507577	ITGAX, ETS1, CSNK2B, covid-19	3
WDR17	0.041594905372670764	WDR17, ETS1, CSNK2B, covid-19	3
KIR3DL1	0.4355924115591814	KIR3DL1, ETS1, CSNK2B, covid-19	3
PCNX1	-0.08497914024184253	PCNX1, ETS1, CSNK2B, covid-19	3
FAM171A1	0.2146484370066216	FAM171A1, ETS1, CSNK2B, covid-19	3
NOMO2	0.035195135777278876	NOMO2, MOV10, covid-19	2
TCEAL3	0.07721239980901	TCEAL3, ETS1, CSNK2B, covid-19	3
SUSD4	0.25606124156951104	SUSD4, IL17RA, covid-19	2
DEFA5	0.11846089945518214	DEFA5, FKBP7, covid-19	2
MGAT4C	-0.0027727020186219704	MGAT4C, PLXNA1, OS9, covid-19	3
NRP2	-0.02926533650220694	NRP2, PLXNA1, OS9, covid-19	3
SEMA6D	-0.030500825111467136	SEMA6D, PLXNA1, OS9, covid-19	3
THEM4	-0.02879277529372412	THEM4, SIRT5, covid-19	2
SH3RF1	-0.09866620033699547	SH3RF1, NINL, covid-19	2
ATP6V0A2	0.03051304865432058	ATP6V0A2, ATP6AP1, covid-19	2
ZFP36L1	-0.1415157152180243	ZFP36L1, EXOSC2, covid-19	2
PREX1	-0.02733933160572497	PREX1, AKT1, IMPDH2, covid-19	3
METTL1	-0.15330147743432482	METTL1, AKT1, IMPDH2, covid-19	3
CLIP3	0.0688130164724903	CLIP3, RIPK1, covid-19	2
FAM110C	-0.15218718716449625	FAM110C, AKT1, IMPDH2, covid-19	3
MRC2	-0.06552466345682904	MRC2, AKT1, IMPDH2, covid-19	3
LTB4R2	-0.1474259933798242	LTB4R2, AKT1, IMPDH2, covid-19	3
TRMT2B	-0.10229805803759805	TRMT2B, AKT1, IMPDH2, covid-19	3
SYTL1	0.13400153133403558	SYTL1, RAB8A, covid-19	2
FBXO31	-0.057745831961170696	FBXO31, DNAJC19, covid-19	2
PIP5K1C	0.023260166443370763	PIP5K1C, AP2A2, covid-19	2
DLC1	0.03894631008021686	DLC1, AKT1, IMPDH2, covid-19	3
PEA15	-0.01379711515905406	PEA15, PDE4DIP, covid-19	2
NDRG2	0.11638215925072551	NDRG2, ATP1B1, covid-19	2
PEBP4	-0.030073361798710535	PEBP4, AKT1, IMPDH2, covid-19	3
MTCP1	-0.08861230247137974	MTCP1, AKT1, IMPDH2, covid-19	3
UXS1	0.04198064811884179	UXS1, FAM98A, covid-19	2
TCL6	-0.0840393257331378	TCL6, AKT1, IMPDH2, covid-19	3
PNPLA3	-0.04732375578539405	PNPLA3, SLC27A2, covid-19	2
CCL14	-0.12982364716375458	CCL14, AKT2, POFUT1, covid-19	3
SPRR2A	0.23237056761533137	SPRR2A, AKT2, POFUT1, covid-19	3
STEAP4	-0.157660818898209	STEAP4, AKT2, GNB1, covid-19	3
USP9Y	-0.0014085583984035227	USP9Y, HS2ST1, covid-19	2
FAT3	0.011416187617452174	FAT3, AKT2, POFUT1, covid-19	3
ADIPOR2	-0.02121646005637838	ADIPOR2, APPL1, HDAC2, covid-19	3
CMTM4	0.11175481050158999	CMTM4, APPL1, HDAC2, covid-19	3
MAGEA9	-0.07218100684192577	MAGEA9, APPL1, HDAC2, covid-19	3
DOK7	-0.035400073577111044	DOK7, APPL1, HDAC2, covid-19	3
MAGEC3	-0.1008278869916318	MAGEC3, APPL1, HDAC2, covid-19	3
SCAPER	-0.07007889703772989	SCAPER, APPL1, HDAC2, covid-19	3
FAM167A	-0.10841720157234269	FAM167A, CENPF, covid-19	2
RAB22A	0.05880199846851436	RAB22A, RAB7A, covid-19	2
CDK10	-0.05332669782086272	CDK10, MGMT, CSNK2A2, covid-19	3
IMPACT	-0.08502483074211378	IMPACT, QSOX2, covid-19	2
MGAT2	0.03647253072639281	MGAT2, MAN2A1, EDEM3, covid-19	3
POU5F1P3	0.11506008101310543	POU5F1P3, AR, AATF, covid-19	3
SEMG2	0.054112300022278785	SEMG2, PRKAR2A, covid-19	2
PLS1	0.011063999110905606	PLS1, ARF6, covid-19	2
ADGRB2	-0.1132798723756844	ADGRB2, ARHGAP1, RHOA, covid-19	3
ADGRL2	-0.04329523099777449	ADGRL2, SHANK2, GRB2, AP2A2, covid-19	4
SLC9A3	0.09398810761650173	SLC9A3, SLC9A3R1, covid-19	2
CRB2	-0.1058357056333243	CRB2, CTTN, IDE, covid-19	3
CTTNBP2	-0.17242121280730624	CTTNBP2, CTTN, IDE, covid-19	3
CIR1	0.10617514326399138	CIR1, HDAC2, covid-19	2
TTC14	0.041148400725540754	TTC14, SNIP1, covid-19	2
MSL1	-0.09647815952045506	MSL1, MOV10, covid-19	2
